ADDRESS,ADDRESSLINE1,ADDRESSLINE2,CITY,City_State,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH,MONTH_ID,ORDERDATE,PHONE,POSTALCODE,PRODUCTCODE,PRODUCTLINE,QTR_ID,STATE,STATUS,TERRITORY,YEAR_ID,MSRP,ORDERLINENUMBER,ORDERNUMBER,PRICEEACH,QUANTITYORDERED,SALES
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Small,February,2,24-02-2003 00:00:00,2125557818,10022,S10_1678,Motorcycles,1,NY,Shipped,NA,2003,95,2,10107,95.7,30,2871
59 rue de l'Abbaye  Reims  51100 France,59 rue de l'Abbaye,,Reims,Reims ,Paul,Henriot,Paul Henriot,France,Reims Collectables,Small,May,5,07-05-2003 00:00:00,26.47.1555,51100,S10_1678,Motorcycles,2,,Shipped,EMEA,2003,95,5,10121,81.35,34,2765.9
27 rue du Colonel Pierre Avia  Paris  75508 France,27 rue du Colonel Pierre Avia,,Paris,Paris ,Daniel,Da Cunha,Daniel Da Cunha,France,Lyon Souveniers,Medium,July,7,01-07-2003 00:00:00,+33 1 46 62 7555,75508,S10_1678,Motorcycles,3,,Shipped,EMEA,2003,95,2,10134,94.74,41,3884.34
78934 Hillside Dr.  Pasadena CA 90003 USA,78934 Hillside Dr.,,Pasadena,Pasadena CA,Julie,Young,Julie Young,USA,Toys4GrownUps.com,Medium,August,8,25-08-2003 00:00:00,6265557265,90003,S10_1678,Motorcycles,3,CA,Shipped,NA,2003,95,6,10145,83.26,45,3746.7
7734 Strong St.  San Francisco CA  USA,7734 Strong St.,,San Francisco,San Francisco CA,Julie,Brown,Julie Brown,USA,Corporate Gift Ideas Co.,Medium,October,10,10-10-2003 00:00:00,6505551386,,S10_1678,Motorcycles,4,CA,Shipped,NA,2003,95,14,10159,100,49,5205.27
9408 Furth Circle  Burlingame CA 94217 USA,9408 Furth Circle,,Burlingame,Burlingame CA,Juri,Hirano,Juri Hirano,USA,Technics Stores Inc.,Medium,October,10,28-10-2003 00:00:00,6505556809,94217,S10_1678,Motorcycles,4,CA,Shipped,NA,2003,95,1,10168,96.66,36,3479.76
"184, chausse de Tournai  Lille  59000 France","184, chausse de Tournai",,Lille,Lille ,Martine,Rance,Martine Rance,France,Daedalus Designs Imports,Small,November,11,11-11-2003 00:00:00,20.16.1555,59000,S10_1678,Motorcycles,4,,Shipped,EMEA,2003,95,9,10180,86.13,29,2497.77
"Drammen 121, PR 744 Sentrum  Bergen  N 5804 Norway","Drammen 121, PR 744 Sentrum",,Bergen,Bergen ,Veysel,Oeztan,Veysel Oeztan,Norway,Herkku Gifts,Medium,November,11,18-11-2003 00:00:00,+47 2267 3215,N 5804,S10_1678,Motorcycles,4,,Shipped,EMEA,2003,95,1,10188,100,48,5512.32
5557 North Pendale Street  San Francisco CA  USA,5557 North Pendale Street,,San Francisco,San Francisco CA,Julie,Murphy,Julie Murphy,USA,Mini Wheels Co.,Small,December,12,01-12-2003 00:00:00,6505555787,,S10_1678,Motorcycles,4,CA,Shipped,NA,2003,95,2,10201,98.57,22,2168.54
"25, rue Lauriston  Paris  75016 France","25, rue Lauriston",,Paris,Paris ,Dominique,Perrier,Dominique Perrier,France,Auto Canal Petit,Medium,January,1,15-01-2004 00:00:00,(1) 47.55.6555,75016,S10_1678,Motorcycles,1,,Shipped,EMEA,2004,95,14,10211,100,41,4708.44
636 St Kilda Road Level 3 Melbourne Victoria 3004 Australia,636 St Kilda Road,Level 3,Melbourne,Melbourne Victoria,Peter,Ferguson,Peter Ferguson,Australia,"Australian Collectors, Co.",Medium,February,2,20-02-2004 00:00:00,03 9520 4555,3004,S10_1678,Motorcycles,1,Victoria,Shipped,APAC,2004,95,1,10223,100,37,3965.66
